name,price,city,production_year,km_driven,engine_type,horsepower,transmission,link
Toyota Yaris  2021 ATIV X CVT 1.5,4700000,Karachi,2021,48342,Petrol,1500 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-9315106
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Beige Interior,65500000,Karachi,2022,22395,Petrol,1800 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-9301096
Toyota Passo  2015 X L Package,3000000,Karachi,2015,59122,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-passo-2015-for-sale-in-karachi-9292111
Toyota Fortuner  2022 Legender ,Call,Karachi,2022,43690,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2022-for-sale-in-karachi-9099140
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Beige Interior,6500000,Karachi,2022,25996,Petrol,1800 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-9302434
Toyota Raize  2020 Z,6200000,Karachi,2020,19864,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-9295535
Toyota Fortuner  2021 Legender ,Call,Karachi,2021,24503,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-karachi-9032993
Toyota Corolla  2017 GLi Automatic 1.3 VVTi,4300000,Karachi,2017,25296,Petrol,1300 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-9295801
Toyota Land Cruiser  2018 ZX,49000000,Karachi,2018,54139,Petrol,4600 ,Automatic,pakwheels.com/used-cars/toyota-land-cruiser-2018-for-sale-in-karachi-7817652
Toyota Corolla  2021 Altis X Automatic 1.6,5400000,Karachi,2021,41124,Petrol,1598 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-9223031
Toyota Corolla  2019 Altis Automatic 1.6,4800000,Karachi,2019,96738,Petrol,1600 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-9254675
Toyota Land Cruiser  2019 ZX,5000000,Karachi,2019,29674,Petrol,4600 ,Automatic,pakwheels.com/used-cars/toyota-land-cruiser-2019-for-sale-in-karachi-9254366
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior,6500000,Karachi,2021,39514,Petrol,1800 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-9250396
Toyota C-HR  2018 G-LED,8200000,Karachi,2018,82386,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-c-hr-2018-for-sale-in-karachi-9223475
Toyota Fortuner  2021 2.7 VVTi,13000000,Karachi,2021,56901,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-karachi-9246796
Toyota Yaris  2022 ATIV CVT 1.3,4500000,Karachi,2022,35162,Petrol,1300 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2022-for-sale-in-karachi-9189920
Toyota Prius  2023 1.8 U Hybrid,13000000,Karachi,2023,13823,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-prius-2023-for-sale-in-karachi-9194180
Toyota Hilux  2020 Revo V Automatic 2.8,Call,Karachi,2020,25563,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-hilux-2020-for-sale-in-karachi-9239894
Toyota Yaris Hatchback  2021 G 1.0,4300000,Karachi,2021,97410,Petrol,996 ,Automatic,pakwheels.com/used-cars/toyota-yaris-hatchback-2021-for-sale-in-karachi-9239217
Toyota Yaris  2021 ATIV CVT 1.3,41500000,Karachi,2021,80172,Petrol,1300 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-9186150
Toyota Fortuner  2018 2.7 VVTi,103000000,Karachi,2018,37066,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2018-for-sale-in-karachi-9230658
